"9","32","""6"""
"10","16","""6.5"""
"4","7","""8.5"""
"88","15","""7.5"""
"56","11","""7"""
"28","89","""9"""
"15","28","""25"""
"0","90","""8.5"""
"7","29","""15.5"""
"9","91","""29.5"""
"5","42","""12.5"""
"5","92","""31.5"""
"93","16","""9.5"""
"57","12","""8.5"""
"7","94","""35.5"""
"5","5","""8.5"""
"13","13","""6.5"""
"42","10","""4"""
"42","46","""14.5"""
"0","10","""9.5"""
"12","10","""5.5"""
"69","1","""15.5"""
"25","13","""30"""
"51","20","""8"""
"10","13","""8.5"""
"4","4","""5"""
"0","0","""4"""
"58","13","""16"""
"51","6","""3"""
"55","76","""7.5"""
"20","20","""5"""
"7","0","""8"""
"54","32","""6.5"""
"95","16","""8"""
"2","13","""14.5"""
"0","13","""4.5"""
"16","42","""4.5"""
"20","20","""4.5"""
"16","13","""14"""
"3","51","""6"""
"12","42","""5.5"""
"13","20","""5.5"""
"59","59","""7"""
"0","0","""5"""
"49","0","""10.5"""
"14","0","""9"""
"59","0","""16.5"""
"0","21","""6.5"""
"32","30","""8"""
"27","87","""8"""
"5","12","""15.5"""
"3","4","""6.5"""
"13","13","""3.5"""
"7","17","""9.5"""
"1","96","""6"""
"20","32","""12"""
"2","2","""3"""
"60","77","""7"""
"4","17","""11.5"""
"20","56","""9.5"""
"4","97","""82.5"""
"28","68","""4.5"""
"28","28","""3.5"""
"13","89","""18"""
"10","10","""4.5"""
"54","54","""4"""
"30","13","""9"""
"16","0","""9.5"""
"20","32","""10.5"""
"98","52","""34.5"""
"42","11","""11"""
"99","100","""15.5"""
"7","0","""52"""
"2","4","""8.5"""
"17","0","""6"""
"42","48","""5.5"""
"0","37","""9.5"""
"7","0","""6.5"""
"55","93","""15"""
"89","80","""25.5"""
"101","76","""5"""
"30","2","""5.5"""
"4","30","""8"""
"32","7","""5.5"""
"55","40","""7.5"""
"0","1","""4.5"""
"4","41","""22"""
"30","1","""9"""
"30","26","""9"""
"10","10","""6"""
"30","13","""16.5"""
"7","27","""22"""
"30","49","""9.5"""
"1","7","""6.5"""
"29","89","""22"""
"13","56","""21"""
"7","41","""17.5"""
"30","46","""22"""
"5","5","""8"""
"28","4","""25"""
"31","56","""35.5"""
"32","1","""5"""
"2","91","""22.5"""
"74","10","""25.5"""
"7","24","""18"""
"26","3","""8.5"""
"89","13","""13"""
"8","1","""25"""
"10","4","""16"""
"14","2","""11"""
"13","0","""6"""
"59","30","""13"""
"28","5","""11.5"""
"50","7","""7.5"""
"7","102","""6"""
"103","104","""41"""
"37","59","""19.5"""
"30","17","""8"""
"1","5","""6"""
"14","12","""5.5"""
"4","7","""7"""
"40","47","""11"""
"13","103","""25"""
"13","20","""5"""
"37","7","""6"""
"42","11","""8"""
"12","42","""7.5"""
"105","20","""23"""
"10","13","""5"""
"42","29","""10.5"""
"5","1","""7.5"""
"5","0","""8"""
"42","12","""8.5"""
"0","2","""13"""
"57","20","""8.5"""
