"2","4","10"
"38","10","22"
"38","6","13"
"3","77","34"
"35","35","17.5"
"12","7","27"
"12","12","5"
"38","12","13"
"38","4","10.5"
"38","5","7.5"
"5","12","8.5"
"6","12","15.5"
"39","36","10.5"
"0","54","21.5"
"38","12","13"
"12","66","24.5"
"6","16","13"
"2","3","8"
"39","9","8"
"35","35","45"
"4","4","6.5"
"9","14","10.5"
"2","12","8"
"66","61","24"
"4","2","4.5"
"7","0","27.5"
"2","0","5.5"
"10","32","8.5"
"6","6","6.5"
"0","66","21"
"22","6","6.5"
"32","32","3.5"
"4","2","8"
"10","6","7"
"6","6","6"
"16","23","5"
"0","22","12"
"12","5","7"
"38","9","6.5"
"6","12","14.5"
"3","66","21.5"
"2","38","9.5"
"78","78","40"
"10","6","11.5"
"37","2","9"
"2","32","13"
"6","6","3.5"
"0","38","14.5"
"12","0","10"
"10","2","15"
"2","0","9.5"
"5","0","6.5"
"0","6","6.5"
"9","5","26"
"4","3","13"
"6","5","11"
"5","2","7"
"34","43","8"
"2","6","10.5"
"6","6","4.5"
"0","6","6"
"56","35","16.5"
"24","6","17"
"24","14","16.5"
"39","79","44.5"
"37","66","24"
"8","2","8"
"24","50","6"
"10","0","17.5"
"10","10","4.5"
"37","63","22.5"
"4","12","5"
"6","6","4.5"
"80","0","33"
"4","35","64"
"39","16","7"
"6","10","8.5"
"37","12","12.5"
"6","6","5.5"
"36","6","10"
"10","10","5.5"
"29","29","9"
"7","0","25.5"
"12","4","5"
"22","6","5"
"12","2","6.5"
"24","24","19.5"
"23","40","10.5"
"9","38","4.5"
"37","24","11"
"22","10","10"
"6","62","16.5"
"13","56","9"
"2","12","8.5"
"2","1","10.5"
"6","10","11.5"
"39","16","6"
"9","29","12.5"
"8","6","6.5"
"6","12","9"
"12","12","5"
"10","10","7.5"
"6","6","5.5"
"19","11","7.5"
"4","12","7.5"
"10","10","7"
"35","35","5.5"
"10","6","14.5"
"2","32","12"
"0","0","4"
"10","6","14"
"10","4","7"
"38","33","9.5"
"11","11","7.5"
"2","0","8"
"39","28","11"
"37","20","16"
"37","10","18.5"
"6","6","5"
"4","12","5.5"
"5","2","7.5"
"4","12","4.5"
"12","0","6.5"
"6","10","10"
"2","61","23.5"
"6","1","14"
"33","38","10"
"32","6","6.5"
"5","16","8.5"
"12","38","11.5"
"0","24","21.5"
"6","32","7.5"
"12","6","12"
"38","0","8.5"
"0","6","5"
"12","74","40.5"
"0","1","15"
"4","29","13.5"
"74","25","23"
"12","4","6.5"
