"(8, 10)",['15.5'],"(1.0, 0.0)"
"(8, 16)",['10'],"(1.0, 0.0)"
"(8, 38)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(8, 59)",['30'],"(1.0, 0.0)"
"(9, 0)","['8', '8', '7']","(0.99999999999872013, 0.0)"
"(9, 1)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(9, 2)","['5.5', '5']","(0.99999971334842808, 1.6431300764452317e-13)"
"(9, 4)","['10.5', '10']","(1.0, 0.0)"
"(9, 5)","['6', '26', '7']","(0.9999999990134123, 0.0)"
"(9, 6)",['9'],"(1.0, 0.0)"
"(9, 8)",['4'],"(0.99996832875816688, 6.3342483666239957e-05)"
"(9, 9)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(9, 12)",['11'],"(1.0, 0.0)"
"(9, 14)","['10.5', '11.5']","(1.0, 0.0)"
"(9, 16)",['6'],"(0.9999999990134123, 1.9731754008489588e-09)"
"(9, 22)",['16.5'],"(1.0, 0.0)"
"(9, 29)",['12.5'],"(1.0, 0.0)"
"(9, 36)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(9, 38)","['4.5', '4.5']","(0.99999660232687526, 2.308842006470968e-11)"
"(9, 44)",['43'],"(1.0, 0.0)"
"(10, 0)","['10', '8', '9.5', '17.5', '12', '10.5', '7.5', '7', '7.5']","(0.99999999999872013, 0.0)"
"(10, 2)","['8.5', '14.5', '16', '15']","(1.0, 0.0)"
"(10, 3)",['19.5'],"(1.0, 0.0)"
"(10, 4)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(10, 6)","['7.5', '9.5', '8.5', '14', '5', '7', '11.5', '14.5', '14', '8', '11', '7', '10.5']","(0.99999971334842808, 0.0)"
"(10, 10)","['8', '8.5', '5', '7.5', '4', '5.5', '4.5', '5.5', '4.5', '5.5', '6', '5.5', '7.5', '8.5', '5', '5', '4.5', '5.5', '7.5', '7', '5', '6', '7', '5', '8.5', '4', '6', '3.5', '5', '8.5', '6.5', '4.5', '4.5', '3.5', '5.5']","(0.99976737092096446, 0.0)"
"(10, 11)","['13', '4', '11', '8', '9.5']","(0.99996832875816688, 0.0)"
"(10, 12)","['7', '7.5', '4', '8.5']","(0.99996832875816688, 0.0)"
"(10, 14)",['21.5'],"(1.0, 0.0)"
"(10, 15)","['52', '52']","(1.0, 0.0)"
"(10, 19)","['7', '6.5', '5.5']","(0.99999998101043752, 0.0)"
"(10, 21)",['18.5'],"(1.0, 0.0)"
"(10, 22)","['11', '9', '13', '8.5', '9.5']","(1.0, 0.0)"
"(10, 32)","['8.5', '8', '6.5', '10.5']","(0.99999999995984001, 0.0)"
"(10, 88)",['21.5'],"(1.0, 0.0)"
"(10, 93)",['43'],"(1.0, 0.0)"
"(11, 0)",['11'],"(1.0, 0.0)"
"(11, 2)",['20'],"(1.0, 0.0)"
"(11, 11)","['7.5', '4', '7', '7.5', '3.5', '6.5']","(0.99976737092096446, 0.0)"
"(11, 22)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(11, 52)",['40'],"(1.0, 0.0)"
"(12, 0)","['8', '6', '9', '6.5', '10', '6.5', '7.5', '8.5', '6']","(0.9999999990134123, 0.0)"
"(12, 1)","['8.5', '11', '8']","(0.99999999999999933, 0.0)"
"(12, 2)","['9', '6.5', '8.5', '4', '9.5', '7']","(0.99996832875816688, 0.0)"
"(12, 4)","['6.5', '5', '11.5', '52', '5', '6.5']","(0.99999971334842808, 0.0)"
"(12, 5)","['7', '8.5']","(0.99999999999872013, 0.0)"
